config,query_id,query,category,P@10,R@10,AP,NDCG@10
hybrid-0.7,q02,information technology support,exact_keyword,0.4,0.8,0.4376,0.5286
hybrid-0.7,q03,construction management,exact_keyword,0.8,0.4,0.6219,0.7917
hybrid-0.7,q05,software development,exact_keyword,0.4,0.5714,0.4976,0.6646
hybrid-0.7,q06,help cleaning buildings,synonym,0.4,0.6667,0.7564,0.7751
hybrid-0.7,q07,computer and network maintenance support,synonym,0.0,0.0,0.0738,0.0
hybrid-0.7,q08,building renovation and repair,synonym,0.7,0.35,0.6272,0.7026
hybrid-0.7,q10,application programming and coding,synonym,0.1,0.1667,0.0952,0.1909
hybrid-0.7,q11,environmental impact assessment,conceptual,0.6,0.75,0.7181,0.8224
hybrid-0.7,q12,improving veteran healthcare outcomes,conceptual,0.2,0.2222,0.3267,0.2012
hybrid-0.7,q13,modernizing federal agency data infrastructure,conceptual,0.5,0.4545,0.4759,0.4736
hybrid-0.7,q14,reducing energy consumption in government buildings,conceptual,0.1,0.1,0.0993,0.0734
hybrid-0.7,q15,training federal workforce on cybersecurity awareness,conceptual,0.0,0.0,0.0909,0.0
hybrid-0.7,q16,NAICS 541620,technical,0.1,0.5,0.503,0.6131
hybrid-0.7,q19,PSC R425 professional management support services,technical,0.4,1.0,0.875,0.955
hybrid-0.7,q20,IDIQ task order cybersecurity assessment,technical,0.3,0.6,0.4102,0.467
